NVT Name,Summary,Vulnerability Insight,Impact,target,id
"PHP < 8.1.30, 8.2.x < 8.2.24, 8.3.x < 8.3.12 Multiple Vulnerabilities - Linux",PHP is prone to multiple vulnerabilities.,"The following vulnerabilities exist:

  - CVE-2024-8925, CVE-2024-8928: Erroneous parsing of multipart form data

  - CVE-2024-8926: Bypass of CVE-2024-4577, Parameter Injection Vulnerability

  - CVE-2024-8927: cgi.force_redirect configuration is bypassable due to the environment variable
  collision

  - CVE-2024-9026: Logs from children may be altered",,High,1c5f6096-e01c-4c89-a98f-b07cec4e6b88
SSL/TLS: Report Non Weak Cipher Suites,"This routine reports all Non Weak SSL/TLS cipher suites
  accepted by a service.",,,Log,de83b7a0-345f-4b4f-9949-9504d28f6482
Apache HTTP Server HTTP/2 connection DoS Vulnerability,Apache HTTP Server is prone to a denial of service (DoS) vulnerability.,"The flaw is due to an error in the handling
  of specially crafted HTTP/2 requests.","Successful exploitation will allow remote
  attackers to cause a denial of service (DoS) condition on a targeted system.",High,083bd8a8-08cb-4ee5-85d7-0a9354b7d8b2
"PHP 5.3.x < 5.3.29, 5.4.x < 5.4.30, 5.5.x < 5.5.14, 5.6.0alpha1 < 5.6.0 Heap Based Buffer Overflow Vulnerability - Linux",PHP is prone to a heap-based buffer overflow vulnerability.,"The flaw is due to buffer overflow error in the 'php_parserr'
  function in ext/standard/dns.c script.","Successfully exploiting this issue allows remote attackers to
  cause a denial of service (crash) and possibly execute arbitrary code on the affected system.",Medium,ea9c5992-1e3e-45f8-81a4-b30772d255c9
ICMP Timestamp Reply Information Disclosure,The remote host responded to an ICMP timestamp request.,"The Timestamp Reply is an ICMP message which replies to a
  Timestamp message. It consists of the originating timestamp sent by the sender of the Timestamp as
  well as a receive timestamp and a transmit timestamp.","This information could theoretically be used to exploit weak
  time-based random number generators in other services.",Low,5aeb76f8-f75c-476e-90f8-bd52b55b8b96
Oracle Mysql Security Updates (jan2012-366304) 03 - Linux,Oracle MySQL is prone to multiple vulnerabilities.,"Multiple flaws exist due to multiple
  unspecified errors in MySQL Server.","Successful exploitation of these
  vulnerabilities will allow remote attackers to affect integrity, availability
  and confidentiality.",Medium,4983bcf3-1498-4dce-a60e-fac3ff38a6c7
PHP CVE-2019-13224 Use-After-Free Vulnerability - Linux,"PHP is prone to a use-after-free vulnerability in a used
  third-pary library.","The flaw exists due to a use-after-free in onig_new_deluxe()
  in regext.c of the third-party library Oniguruma 6.9.2 which is used by PHP.

  The attacker provides a pair of a regex pattern and a string, with a multi-byte encoding that gets
  handled by onig_new_deluxe().","This flaw allows attackers to potentially cause information
  disclosure, denial of service, or possibly code execution by providing a crafted regular
  expression.",Critical,9be2e464-1312-4ec8-bb5d-adc3a556c1e2
Hostname Determination Reporting,"The script reports information on how the hostname of the target
  was determined.",,,Log,4b5d6c96-b448-43b3-93bb-1dbf8ccf51e5
Services,This plugin performs service detection.,"This plugin attempts to guess which service is running on the
  remote port(s). For instance, it searches for a web server which could listen on another port than
  80 or 443 and makes this information available for other check routines.",,Log,d808c119-5e5f-4e95-b925-88db920f9666
Apache HTTP Server 2.4.20 < 2.4.44 Multiple Vulnerabilities - Linux,Apache HTTP Server is prone to multiple vulnerabilities.,"The following vulnerabilities exist:

  - Push Diary Crash on Specifically Crafted HTTP/2 Header (CVE-2020-9490)

  - Push Diary Crash on Specifically Crafted HTTP/2 Header (CVE-2020-11993)",,High,966739bf-5cad-4b9b-b513-601640e1fe2f
"PHP < 5.5.33, 5.6.x < 5.6.19 Multiple Vulnerabilities (Apr 2016) - Linux",PHP is prone to multiple vulnerabilities.,"The following flaws exist:

  - Use-after-free error in wddx.c script in the WDDX extension in PHP

  - Error in the phar_parse_zipfile function in zip.c script in the PHAR extension in PHP.","Successfully exploiting these issues allow remote attackers to
  gain access to potentially sensitive information and conduct a denial of service (memory
  corruption and application crash).",Critical,90cbd17f-88f0-43e8-aff1-320eef4ce67b
Apache HTTP Server < 2.4.54 Multiple Vulnerabilities - Linux,Apache HTTP Server is prone to multiple vulnerabilities.,"The following vulnerabilities exist:

  - CVE-2022-26377: mod_proxy_ajp: Possible request smuggling

  - CVE-2022-28614: Read beyond bounds via ap_rwrite()

  - CVE-2022-28615: Read beyond bounds in ap_strcmp_match()

  - CVE-2022-29404: Denial of service in mod_lua r:parsebody

  - CVE-2022-30556: Information disclosure in mod_lua with websockets

  - CVE-2022-31813: mod_proxy X-Forwarded-For dropped by hop-by-hop mechanism",,Critical,2aad67c3-b78f-4b35-a844-39b9ed505de5
Samba Security Feature Bypass Vulnerability (CVE-2020-17049),Samba is prone to a security feature bypass vulnerability.,"BUG 14642: Provide a fix for MS CVE-2020-17049 in Samba
  [SECURITY] 'Bronze bit' S4U2Proxy Constrained Delegation bypass in Samba with embedded Heimdal.",,Medium,542c83de-a39d-4996-aa9c-4fece70e6055
Oracle MySQL Server <= 5.5.48 / 5.6 <= 5.6.29 / 5.7 <= 5.7.10 Security Update (cpujul2016) - Linux,Oracle MySQL Server is prone to an unspecified vulnerability.,"An unspecified error exists in the 'MySQL Server' component via
  unknown vectors related to the 'Security Encryption' sub-component.","Successful exploitation will allow a remote attacker to affect
  confidentiality via unknown vectors.",Low,198f7284-7a44-4ec2-a05c-b36b07aca459
ICMP Timestamp Reply Information Disclosure,The remote host responded to an ICMP timestamp request.,"The Timestamp Reply is an ICMP message which replies to a
  Timestamp message. It consists of the originating timestamp sent by the sender of the Timestamp as
  well as a receive timestamp and a transmit timestamp.","This information could theoretically be used to exploit weak
  time-based random number generators in other services.",Low,8911c45c-d077-44a1-8d73-202ca27b0cac
"PHP 5.4.x < 5.4.37, 5.5.x < 5.5.21, 5.6.x < 5.6.5 Multiple Vulnerabilities (Feb 2015)",PHP is prone to multiple vulnerabilities.,"The following flaws exist:

  - CVE-2014-9652: Improper handle of a certain string-length field during a copy of a truncated
  version of a Pascal string in the mconvert function from softmagic.c file

  - CVE-2014-9653: Uninitialized memory access in the readelf.c file

  - CVE-2015-0231: Use after free vulnerability in the 'process_nested_data' function in
  ext/standard/var_unserializer.re

  - CVE-2015-0232: Uninitialized pointer free in the 'exif_process_unicode' function in
  ext/exif/exif.c script when parsing JPEG EXIF entries","Successful exploitation will allow remote attackers to cause a
  denial of service or possibly execute arbitrary code via different crafted dimensions.",High,21910976-f761-437f-83d5-f1cb01da5687
"Oracle MySQL Server <= 8.0.43, 8.1.x <= 8.4.7, 9.0.0 <= 9.4.0 Security Update (cpuoct2025) - Linux",Oracle MySQL Server is prone to multiple vulnerabilities.,,,Medium,a2f36967-21ea-4c4e-a4b1-761600158935
PHP Out of Bounds Read Vulnerability (Jan 2015),PHP is prone to an out of bounds read vulnerability.,"An out of bounds read error exists in sapi/cgi/cgi_main.c in
  the CGI component in PHP.","Successful exploitation will allow remote attackers to obtain
  sensitive information and trigger unexpected code execution.",High,db360584-ad59-4c23-a3ca-ee56bfcd79b3
"PHP < 7.2.27, 7.3.x < 7.3.14, 7.4.x < 7.4.2 Multiple Vulnerabilities (Jan 2020) - Linux",PHP is prone to multiple vulnerabilities.,"PHP is prone to multiple vulnerabilities:

  - OOB read in php_strip_tags_ex (CVE-2020-7059)

  - Global buffer-overflow in 'mbfl_filt_conv_big5_wchar' (CVE-2020-7060)",,Critical,d600490b-0206-41ca-9975-56ccbac20f02
"Samba 3.6.0 < 4.12.15, 4.13.0 < 4.13.8, 4.14.0 < 4.14.4 File Access Vulnerability",Samba is prone to a unauthorized file access vulnerability.,"The Samba smbd file server must map Windows group identities
  (SIDs) into unix group ids (gids). The code that performs this had a flaw that could allow it
  to read data beyond the end of the array in the case where a negative cache entry had been added
  to the mapping cache. This could cause the calling code to return those values into the process
  token that stores the group membership for a user.

  Most commonly this flaw causes the calling code to crash, but it was found that an unprivileged
  user may be able to delete a file within a network share that they should have been disallowed
  access to.",,Medium,93ac01fa-d250-48cb-b920-9867fdabf998
Memcached Detection (TCP),TCP based detection of Memcached.,,,Log,d507a8bc-5f11-4244-b720-8c50359083a5
"Oracle MySQL Server <= 8.0.39, 8.1 <= 8.4.2, 9.0 <= 9.0.1 Security Update (cpuoct2024) - Linux",Oracle MySQL Server is prone to multiple vulnerabilities.,,,High,d6bc0ce8-6969-4aad-8165-cb3626e7a3d8
Samba Memory Disclosure Vulnerability (CVE-2025-9640),"Samba is prone to an uninitialized memory disclosure
  vulnerability via vfs_streams_xattr.","An authenticated user can read an unlimited number of samples
  of discarded heap memory, due to a failure to initialise memory in streams_xattr_pwrite() in the
  vfs_streams_xattr file server module.

  This is achieved by issuing write requests that creates holes in the file.

  Samba erases known secrets before freeing the associated memory, which somewhat mitigates the
  data leak.",,Medium,3a3775fd-8f2e-4832-b547-0c5682322415
HTTP Server type and version,"This script detects and reports the HTTP Server's banner
  which might provide the type and version of it.",,,Log,b4839d49-a2a1-4ace-b4de-216f53cc8d95
"PHP < 7.2.33, 7.3 < 7.3.21, 7.4 < 7.4.9 DoS Vulnerability (Aug 2020) - Linux","PHP is prone to a denial of service vulnerability in the
  phar_parse_zipfile function.","The phar_parse_zipfile function had use-after-free
  vulnerability because of mishandling of the actual_alias variable.",,Low,d17397fe-c4cd-4483-bddc-e8ce6b4f3851
ProFTPD < 1.3.7 Multiple Vulnerabilities,ProFTPD is prone to multiple vulnerabilities.,"The following flaws exist:

  - There is an out-of-bounds (OOB) read vulnerability in mod_cap via the cap_text.c cap_to_text
  function.

  - It is possible to corrupt the memory pool by interrupting the data transfer channel. This
  triggers a use-after-free in alloc_pool in pool.c.","Successful exploitation would allow an attacker to read
  sensitive information or execute arbitrary code on the target machine.",High,b7bdf2a9-dff7-4ee7-96da-ff5425d0e70a
Apache HTTP Server <= 2.4.52 Multiple Vulnerabilities - Linux,Apache HTTP Server is prone to multiple vulnerabilities.,"The following vulnerabilities exist:

  - CVE-2022-22719: mod_lua Use of uninitialized value of in r:parsebody

  - CVE-2022-22720: HTTP request smuggling vulnerability

  - CVE-2022-22721: Possible buffer overflow with very large or unlimited LimitXMLRequestBody

  - CVE-2022-23943: mod_sed: Read/write beyond bounds",,Critical,3fb53edc-f0c6-4cb8-89c5-007973b44524
Apache HTTP Server Detection Consolidation,Consolidation of Apache HTTP Server detections.,,,Log,564e1fca-d24b-4b66-b45c-6a4c7a31fc87
TCP Timestamps Information Disclosure,"The remote host implements TCP timestamps and therefore allows
  to compute the uptime.","The remote host implements TCP timestamps, as defined by
  RFC1323/RFC7323.","A side effect of this feature is that the uptime of the remote
  host can sometimes be computed.",Low,b2b9d4f0-10c1-4db9-bf92-a61871a691b5
Hostname Determination Reporting,"The script reports information on how the hostname of the target
  was determined.",,,Log,2c36f30d-a1e1-4452-8ce9-3fcb832b5df4
CPE Inventory,"This routine uses information collected by other routines about
  CPE identities of operating systems, services and applications detected during the scan.

  Note: Some CPEs for specific products might show up twice or more in the output. Background:

  After a product got renamed or a specific vendor was acquired by another one it might happen that
  a product gets a new CPE within the NVD CPE Dictionary but older entries are kept with the older
  CPE.",,,Log,261dff7d-869f-4fb5-bbf2-64198c6ec189
OS Detection Consolidation and Reporting,"This script consolidates the OS information detected by several
  VTs and tries to find the best matching OS.

  Furthermore it reports all previously collected information leading to this best matching OS. It
  also reports possible additional information which might help to improve the OS detection.

  If any of this information is wrong or could be improved please consider to report these to the
  referenced community forum.",,,Log,f82f4aae-696c-428e-ac73-ebff2fb1fbff
Traceroute,"Collect information about the network route and
  network distance between the scanner host and the target host.","For internal networks, the distances are usually
  small, often less than 4 hosts between scanner and target. For public targets the
  distance is greater and might be 10 hosts or more.",,Log,40b11623-f1ed-49a3-9e0f-679933b1180e
Samba Server CVE-2017-14746 Use-after-free Vulnerability,Samba is prone to a use-after-free vulnerability.,"The flaw exists due to a client which may use an SMB1
  request to manipulate the contents of heap space.","A malicious SMB1 request can be used to control the contents
  of heap memory via a deallocated heap pointer. It is possible this may be used to compromise
  the SMB server.",Critical,871885b5-d556-4310-ab0a-aa55704a5595
Python Multiple Vulnerabilities (Mar 2024) - Linux,Python is prone to multiple vulnerabilities.,"The following vulnerabilities exist:

  - CVE-2024-0450: Quoted zip-bomb protection for zipfile

  - No CVE: crash in socket.if_indextoname() with a specific value (UINT_MAX).

  - No CVE: .pth files with names starting with a dot or containing the hidden file attribute are
  not skipped",,Medium,7831454c-f219-4257-b816-085e462aff85
TCP Timestamps Information Disclosure,"The remote host implements TCP timestamps and therefore allows
  to compute the uptime.","The remote host implements TCP timestamps, as defined by
  RFC1323/RFC7323.","A side effect of this feature is that the uptime of the remote
  host can sometimes be computed.",Low,1e2e54ae-2f1b-4d3b-8333-5c0f4a57daa9
"Samba Multiple Vulnerabilities (CVE-2019-14902, CVE-2019-14907)",Samba is prone to multiple vulnerabilities.,"Samba is prone to multiple vulnerabilities:

  - Removal of the right to create or modify a subtree would not automatically be taken away on all domain
    controllers (CVE-2019-14902)

  - Crash after failed character conversion at log level 3 or above (CVE-2019-14907)",,Medium,70c1b967-a6ee-4800-8ef1-a337e1148118
Apache HTTP Server < 2.4.39 mod_auth_digest Access Control Bypass Vulnerability - Linux,"In Apache HTTP Server, a race condition in mod_auth_digest when running in a
  threaded server could allow a user with valid credentials to authenticate using another username, bypassing
  configured access control restrictions.",,,High,839b62c1-bcb0-4487-98c0-27fff20cb37a
"PHP < 7.4.28, 8.0.x < 8.0.16, 8.1.x < 8.1.3 Security Update (Feb 2022) - Linux",PHP released new versions which include a security fix.,Fix #81708: UAF due to php_filter_float() failing for ints.,,Critical,6f1a0318-6b52-40b2-9b51-09451bd283df
Apache HTTP Server Multiple Vulnerabilities (Jun 2017) - Linux,Apache HTTP Server is prone to multiple vulnerabilities.,"Multiple flaws exist as,

  - The mod_mime can read one byte past the end of a buffer when sending a malicious
    Content-Type response header.

  - The mod_ssl may dereference a NULL pointer when third-party modules call
    ap_hook_process_connection() during an HTTP request to an HTTPS port.

  - An use of the ap_get_basic_auth_pw() by third-party modules outside of the
    authentication phase may lead to authentication requirements being
    bypassed.","Successful exploitation will allow remote
  attackers to bypass authentication and perform unauthorized actions, cause
  a denial-of-service condition and gain access to potentially sensitive
  information.",Critical,6eb911dc-c3f4-4692-9715-4e187a37997f
CPE Inventory,"This routine uses information collected by other routines about
  CPE identities of operating systems, services and applications detected during the scan.

  Note: Some CPEs for specific products might show up twice or more in the output. Background:

  After a product got renamed or a specific vendor was acquired by another one it might happen that
  a product gets a new CPE within the NVD CPE Dictionary but older entries are kept with the older
  CPE.",,,Log,4380385a-ce4b-461c-838a-d835097745e9
Apache HTTP Server OPTIONS Memory Leak Vulnerability (Optionsbleed) - Version Check,"Apache HTTP Server allows remote attackers to read
  secret data from process memory if the Limit directive can be set in a user's .htaccess
  file, or if httpd.conf has certain misconfigurations, aka Optionsbleed.","Optionsbleed is a use after free error in the Apache
  HTTP Server that causes a corrupted Allow header to be constructed in response to HTTP
  OPTIONS requests. This can leak pieces of arbitrary memory from the server process that
  may contain secrets. The memory pieces change after multiple requests, so for a vulnerable
  host an arbitrary number of memory chunks can be leaked.

  The bug appears if a webmaster tries to use the 'Limit' directive with an invalid HTTP
  method.

  Example .htaccess:

  <Limit abcxyz>
  </Limit>","The successful exploitation allows the attacker to read
  chunks of the host's memory.",High,5cd5fef6-cf1b-42d8-88f6-21be6c933428
Services,This plugin performs service detection.,"This plugin attempts to guess which service is running on the
  remote port(s). For instance, it searches for a web server which could listen on another port than
  80 or 443 and makes this information available for other check routines.",,Log,690cc1cc-2be1-4617-be37-79e359842293
OpenSSH <= 7.2p2 Privilege Escalation Vulnerability (May 2016),OpenSSH is prone to a privilege escalation vulnerability.,"The flaw exists due to an error in 'do_setup_env function' in
  the 'session.c' script in sshd which trigger a crafted environment for the /bin/login program when
  the UseLogin feature is enabled and PAM is configured to read .pam_environment files in user home
  directories.","Successfully exploiting this issue will allow local users to gain
  privileges.",High,645397ed-59b4-4815-92c4-a6e2c9822efe
PHP <= 7.1.5 Multiple DoS Vulnerabilities,"PHP is prone to multiple denial of service (DoS)
  vulnerabilities.","The following flaws exist:

  - CVE-2017-8923: The zend_string_extend function in Zend/zend_string.h does not prevent changes to
  string objects that result in a negative length, which allows remote attackers to cause a denial
  of service (application crash) or possibly have unspecified other impact by leveraging a script's
  use of .= with a long string.

  - CVE-2017-9119: The i_zval_ptr_dtor function in Zend/zend_variables.h allows attackers to cause a
  denial of service (memory consumption and application crash) or possibly have unspecified other
  impact by triggering crafted operations on array data structures.",,Critical,d38fc2c7-9c56-4dd6-a7f4-ea052c94732f
Backup File Scanner (HTTP) - Unreliable Detection Reporting,The script reports backup files left on the web server.,"Notes:

  - 'Unreliable Detection' means that a file was detected only based on a HTTP 200 (Found) status
  code reported by the remote web server when a file was requested.

  - As the VT 'Backup File Scanner (HTTP)' (OID: 1.3.6.1.4.1.25623.1.0.140853) might run into a
  timeout the actual reporting of this vulnerability takes place in this VT instead.","Based on the information provided in these files an attacker might
  be able to gather sensitive information stored in these files.",Medium,edc3c58f-e1b2-4be2-adfd-379573377279
Apache HTTP Server < 2.4.39 mod_auth_digest Access Control Bypass Vulnerability - Linux,"In Apache HTTP Server, a race condition in mod_auth_digest when running in a
  threaded server could allow a user with valid credentials to authenticate using another username, bypassing
  configured access control restrictions.",,,High,986cf360-5be2-4349-bb7f-df66a481bc20
