NVT Name,Summary,Affected Software/OS,target,id
"PHP < 5.6.25, 7.x < 7.0.10 Multiple Vulnerabilities (Sep 2016) - Linux",PHP is prone to multiple vulnerabilities.,"PHP prior to version 5.6.25 and 7.x prior to 7.0.10 on
  Linux.",VendorFix,fe59ff6e-56d1-4a47-b5df-530b93e8789e
PHP CVE-2019-13224 Use-After-Free Vulnerability - Linux,"PHP is prone to a use-after-free vulnerability in a used
  third-pary library.",PHP version before 7.1.32 and 7.3.x before 7.3.9.,VendorFix,75b447f8-5189-4ab9-aa9a-31bf0e935573
"PHP < 5.5.38, 5.6.x < 5.6.24, 7.0.x < 7.0.9 Multiple Vulnerabilities (Jul 2016) - Linux",PHP is prone to multiple vulnerabilities.,"PHP prior to version 5.5.38, 5.6.x prior to 5.6.24 and 7.x
  prior to 7.0.9.",VendorFix,18ac6d2b-858b-497d-9b07-ae6b1f8a639b
"PHP 5.x < 5.6.34, 7.x < 7.0.28, 7.1.x < 7.1.15, 7.2.x < 7.2.3 Stack Buffer Overflow Vulnerability (Mar 2018) - Linux",PHP is prone to a stack buffer overflow vulnerability.,"PHP versions 5.x prior to 5.6.34, 7.x prior to 7.0.28, 7.1.x
  prior to 7.1.15 and 7.2.x prior to 7.2.3 on Linux.",VendorFix,a915abfb-4354-448d-a9ae-d7aedc979fb4
"PHP < 5.3.29, 5.4.x < 5.4.30, 5.5.x < 5.5.14 Multiple Vulnerabilities (Jun/Aug 2014) - Linux",PHP is prone to multiple vulnerabilities.,"PHP versions 5.3.x prior to 5.3.29, 5.4.x prior to 5.4.30 and
  5.5.x prior to 5.5.14.",VendorFix,09c079ec-dd37-4fb6-9c7b-e50ea5b1c933
"PHP < 5.5.37, 5.6.x < 5.6.23, 7.x < 7.0.8 Multiple Vulnerabilities (Aug 2016) - Linux",PHP is prone to multiple vulnerabilities.,"PHP prior to version 5.5.37, 5.6.x prior to 5.6.23 and 7.x
  prior to 7.0.8 on Linux.",VendorFix,b1fa4e6d-0a77-4c02-901d-b21539549400
"PHP < 5.4.40, 5.5.x < 5.5.24, 5.6.x < 5.6.8 Multiple Vulnerabilities - Linux",PHP is prone to multiple vulnerabilities.,"PHP prior to version 5.4.40, 5.5.x prior to 5.5.24 and 5.6.x
  prior to 5.6.8.",VendorFix,fcb95e9e-880a-4bf8-bd22-8e10f8d0be9f
"PHP < 5.4.42, 5.5.x < 5.5.26, 5.6.x < 5.6.10 Multiple Vulnerabilities (Aug 2016) - Linux",PHP is prone to multiple vulnerabilities.,"PHP prior to version 5.4.42, 5.5.x prior to 5.5.26 and 5.6.x
  prior to 5.6.10 on Linux.",VendorFix,411e2b95-7af5-407a-a42a-6bcdce10b6d0
"PHP < 5.4.43, 5.5.x < 5.5.27, 5.6.x < 5.6.11 Multiple Vulnerabilities (Mar 2016) - Linux",PHP is prone to multiple vulnerabilities.,"PHP prior to version 5.4.43, 5.5.x prior to 5.5.27 and 5.6.x
  prior to 5.6.11 on Linux.",VendorFix,28a1df35-4564-4da2-82ed-26f542938451
"PHP < 5.4.44, 5.5.x < 5.5.28, 5.6.x < 5.6.12 Multiple Vulnerabilities (Jul 2016) - Linux",PHP is prone to multiple vulnerabilities.,"PHP prior to version 5.4.44, 5.5.x prior to 5.5.28 and 5.6.x
  prior to 5.6.12 on Linux.",VendorFix,5189a9f9-ad44-4cd5-9216-15a24dc7d46c
"PHP < 5.4.45, 5.5.x < 5.5.29, 5.6.x < 5.6.13 Multiple Vulnerabilities (Jul 2016) - Linux",PHP is prone to multiple vulnerabilities.,"PHP prior to version 5.4.45, 5.5.x prior to 5.5.29 and 5.6.x
  prior to 5.6.13 on Linux.",VendorFix,f582a95d-c029-4e62-af5b-d8fa072412b9
"PHP < 5.5.27, 5.6.x < 5.6.11 Arbitrary Code Execution Vulnerability (Aug 2016) - Linux",PHP is prone to an arbitrary code execution vulnerability.,"PHP prior to version 5.5.27 and 5.6.x prior to 5.6.11 on
  Linux.",VendorFix,ec9d775d-e1e0-4caa-98aa-4fe86175e59e
"PHP < 5.5.32, 5.6.x < 5.6.18, 7.x < 7.0.3 Multiple Vulnerabilities (Jul 2016) - Linux",PHP is prone to multiple vulnerabilities.,"PHP prior to version 5.5.32, 5.6.x prior to 5.6.18 and 7.x
  prior to 7.0.3 on Linux.",VendorFix,ab8a2e03-ebdb-4866-b08d-670e9d69d565
"PHP < 5.5.33, 5.6.x < 5.6.19 Multiple Vulnerabilities (Apr 2016) - Linux",PHP is prone to multiple vulnerabilities.,"PHP prior to version 5.5.33 and 5.6.x prior to 5.6.19 on
  Linux.",VendorFix,ab93d80b-0470-4319-ad0a-c9fc3d019218
"PHP < 5.5.34, 5.6.x < 5.6.20, 7.x < 7.0.5 Multiple Vulnerabilities (Jul 2016) - Linux",PHP is prone to multiple vulnerabilities.,"PHP prior to version 5.5.34, 5.6.x prior to 5.6.20 and 7.0.x
  prior to 7.0.5 on Linux.",VendorFix,aa975aa4-28ff-4081-9d51-e537b290ddec
"PHP < 5.5.35, 5.6.x < 5.6.21, 7.x < 7.0.6 Multiple Vulnerabilities (Jul 2016) - Linux",PHP is prone to multiple vulnerabilities.,"PHP prior to version 5.5.35, 5.6.x prior to 5.6.21 and 7.x
  prior to 7.0.6 on Linux.",VendorFix,2734b08b-a739-4d6a-a65a-cbfc90c5002d
"PHP < 5.5.22, 5.6.x < 5.6.6 XXE Vulnerability - Linux",PHP is prone to an XML external entity (XXE) vulnerability.,"PHP prior to version 5.5.22 and 5.6.x prior to 5.6.6 on
  Linux.",VendorFix,dbf465c1-81d7-4408-988d-3dfc0975499a
"PHP < 7.2.27, 7.3.x < 7.3.14, 7.4.x < 7.4.2 Multiple Vulnerabilities (Jan 2020) - Linux",PHP is prone to multiple vulnerabilities.,"PHP versions before 7.2.27, 7.3.x and 7.4.x.",VendorFix,5b89ab1e-45e6-4308-934d-bd57ff927fc2
"PHP < 5.5.31, 5.6.x < 5.6.17, 7.x < 7.0.2 DoS Vulnerability (Aug 2016) - Linux",PHP is prone to a denial of service (DoS) vulnerability.,"PHP prior to version 5.5.31, 5.6.x prior to 5.6.17 and 7.x
  prior to 7.0.2 on Linux.",VendorFix,7142a6e2-fa1b-4f02-88f4-a95383e3f3f0
Apache HTTP Server mod_auth_digest Multiple Vulnerabilities - Linux,Apache HTTP Server is prone to multiple vulnerabilities.,"Apache HTTP Server 2.2.x before 2.2.34 and
  2.4.x before 2.4.27.",VendorFix,d5a158ce-b0b1-4e29-aaa9-f062c8cdf1be
"PHP < 5.5.31, 5.6.x < 5.6.17, 7.x < 7.0.2 Out of Bounds Read Memory Corruption Vulnerability (Mar 2016) - Linux","PHP is prone to an out-of-bounds read memory corruption
  vulnerability.","PHP prior to version 5.5.31, 5.6.x prior to 5.6.17 and 7.x
  prior to 7.0.2 on Linux.",VendorFix,55f58684-936e-4e5b-8514-e8ef9202a929
Apache HTTP Server < 2.4.55 Multiple Vulnerabilities - Linux,Apache HTTP Server is prone to multiple vulnerabilities.,Apache HTTP Server version 2.4.54 and prior.,VendorFix,dfe42c2d-2f12-4065-9dfa-b5c4e0ab243b
"PHP < 5.6.36, 7.x < 7.0.30, 7.1.x < 7.1.17, 7.2.x < 7.2.5 Multiple Vulnerabilities (May 2018) - Linux",PHP is prone to multiple vulnerabilities.,"PHP prior to version 5.6.36, 7.0.x prior to 7.0.30, 7.1.x
  prior to 7.1.17 and 7.2.x prior to 7.2.5 on Linux.",VendorFix,62b8daaa-741c-4cb0-b82d-2317e9943e38
"PHP < 8.1.30, 8.2.x < 8.2.24, 8.3.x < 8.3.12 Multiple Vulnerabilities - Linux",PHP is prone to multiple vulnerabilities.,"PHP versions prior to 8.1.30, 8.2.x prior to 8.2.24 and 8.3.x
  prior to 8.3.12.",VendorFix,7f0ca8a3-67dc-480f-8ecc-70d64a2092d3
"PHP < 5.6.18, 7.x < 7.0.3 DoS Vulnerability (Jul 2016) - Linux",PHP is prone to a denial of service (DoS) vulnerability.,"PHP prior to version 5.6.18 and 7.x prior to 7.0.3 on
  Linux.",VendorFix,c88a19f1-190e-4d92-a45c-a826d87deea4
"PHP < 7.4.30, 8.0.x < 8.0.20, 8.1.x < 8.1.7 Security Update (Jun 2022) - Linux",PHP released new versions which include a security fix.,"PHP prior to version 7.4.30, 8.0.x through 8.0.19 and 8.1.x
  through 8.1.6.",VendorFix,2b386435-8734-4791-af50-5a4a2893910d
"PHP < 5.5.36, 5.6.x < 5.6.22, 7.x < 7.0.7 Multiple Vulnerabilities (Aug 2016) - Linux",PHP is prone to multiple vulnerabilities.,"PHP prior to version 5.5.36, 5.6.x prior to 5.6.22 and 7.x
  prior to 7.0.7 on Linux.",VendorFix,13dcaed7-31dc-4858-8091-f22a2d151c2d
"PHP < 5.5.36, 5.6.x < 5.6.22 Multiple Vulnerabilities (Aug 2016) - Linux",PHP is prone to multiple vulnerabilities.,"PHP prior to version 5.5.36 and 5.6.x prior to 5.6.22 on
  Linux.",VendorFix,b9ac0fe6-9a83-42a1-a4b7-35c20c494bca
Apache HTTP Server 2.4.7 - 2.4.51 Multiple Vulnerabilities - Linux,Apache HTTP Server is prone to multiple vulnerabilities.,Apache HTTP Server version 2.4.7 through 2.4.51.,VendorFix,d324076e-af1c-4e5c-8aad-3423c5a3713a
"PHP < 8.2.30, 8.3.x < 8.3.29, 8.4.x < 8.4.16 Multiple Vulnerabilities - Linux",PHP is prone to multiple vulnerabilities.,"PHP versions prior to 8.2.30, 8.3.x prior to 8.3.29 and 8.4.x
  prior to 8.4.16.",VendorFix,b9369404-9291-4de6-9b80-00445c9d21a3
"PHP < 8.0.28, 8.1.x < 8.1.16, 8.2.x < 8.2.3 Security Update - Linux",PHP is prone to multiple vulnerabilities.,"PHP versions prior to 8.0.28, 8.1.x prior to 8.1.16 and 8.2.x
  prior to 8.2.3.",VendorFix,523cff9d-9337-4d50-9086-98d8c48b2bdf
"PHP < 5.6.24, 7.x <= 7.0.8 Multiple Vulnerabilities (Jul 2016) - Linux",PHP is prone to multiple vulnerabilities.,"PHP versions 5.x through 5.6.23 and 7.0.x through 7.0.8 on
  Linux.",VendorFix,1fbeb9b4-6a15-4b17-82d2-4d3c6db1be34
Apache HTTP Server Man-in-the-Middle Attack Vulnerability (Jul 2016) - Linux,Apache HTTP Server is prone to a man-in-the-middle attack vulnerability.,"Apache HTTP Server through 2.4.23.

  NOTE: Apache HTTP Server 2.2.32 is not vulnerable.",VendorFix,d51154d8-27b7-488b-9539-011ffafdfec5
"PHP < 8.0.27, 8.1.x < 8.1.14, 8.2.x < 8.2.1 Security Update - Linux",PHP is prone to an integer overflow vulnerability.,"PHP prior to version 8.0.27, version 8.1.x through 8.1.13 and
  8.2.0.",VendorFix,f5c77f01-3db2-41cc-b649-bc46bc6cf38a
Apache HTTP Server Whitespace Defects Multiple Vulnerabilities,Apache HTTP Server is prone to multiple vulnerabilities.,"Apache HTTP Server 2.2.x before 2.2.32 and
  2.3.x through 2.4.24 prior to 2.4.25.",VendorFix,5518f3bf-1289-416f-a30f-c5c7015b15bd
Apache HTTP Server Denial of Service Vulnerability-02 (Apr 2018) - Linux,Apache HTTP Server is prone to a denial of service vulnerability.,"Apache HTTP Server versions 2.4.6, 2.4.7,
  2.4.9, 2.4.10, 2.4.12, 2.4.16 through 2.4.18, 2.4.20, 2.4.23, and 2.4.25 through
  2.4.29.",VendorFix,23e823dd-ed0f-4174-bc90-c124ee802844
"PHP < 5.4.38, 5.5.x < 5.5.22, 5.6.x < 5.6.6 Multiple RCE Vulnerabilities (Jul 2015) - Linux",PHP is prone to multiple vulnerabilities.,"PHP prior to version 5.4.38, 5.5.x prior to 5.5.22 and 5.6.x
  prior to 5.6.6.",VendorFix,03cf4dd3-8370-48bc-aed9-69a9493443b5
"PHP < 7.2.30, 7.3 < 7.3.17, 7.4 < 7.4.5 DoS Vulnerability (Apr 2020) - Linux",PHP is prone to a denial of service (DoS) vulnerability.,"PHP versions prior 7.2.30, 7.3 prior 7.3.17 and 7.4 prior to
  7.4.5.",VendorFix,b2014642-0160-4b89-adda-f5e55b498705
"PHP < 5.4.39, 5.5.x < 5.5.23, 5.6.x < 5.6.7 Multiple Vulnerabilities - Linux",PHP is prone to multiple vulnerabilities.,"PHP prior to version 5.4.39, 5.5.x prior to 5.5.23 and 5.6.x
  prior to 5.6.7.",VendorFix,6586bf07-86f3-4b7f-8685-bdf1f959221d
"PHP < 7.3.27, 7.4.x < 7.4.15, 8.0.x < 8.0.2 NULL Deference Vulnerability (Feb 2021) - Linux","PHP is prone to a NULL dereference vulnerability in the
  SoapClient.","PHP versions prior to 7.3.27, 7.4.x prior to 7.4.15 and 8.0.x
  prior to 8.0.2.",VendorFix,962980c6-6705-4d51-8e2a-034d798fc305
"PHP < 8.1.33, 8.2.x < 8.2.29, 8.3.x < 8.3.23, 8.4.x < 8.4.10 Multiple Vulnerabilities - Linux",PHP is prone to multiple vulnerabilities.,"PHP versions prior to 8.1.33, 8.2.x prior to 8.2.29, 8.3.x
  prior to 8.3.23 and 8.4.x prior to 8.4.10.",VendorFix,e0110197-fdf6-45e7-8173-288519b37f91
Apache HTTP Server OPTIONS Memory Leak Vulnerability (Optionsbleed) - Version Check,"Apache HTTP Server allows remote attackers to read
  secret data from process memory if the Limit directive can be set in a user's .htaccess
  file, or if httpd.conf has certain misconfigurations, aka Optionsbleed.","Apache HTTP Server 2.2.x versions up to 2.2.34 and
  2.4.x below 2.4.28.",VendorFix,0cefb185-30c9-45be-9eae-718ba836a438
PHP Multiple Heap Buffer Overflow and Information Disclosure Vulnerabilities (Aug 2018) - Linux,"PHP is prone to multiple heap buffer overflow and information
  disclosure vulnerabilities.","PHP prior to version 5.6.37, 7.x prior to 7.0.31, 7.1.x prior
  to 7.1.20 and 7.2.x prior to 7.2.8.",VendorFix,12fe9dc6-bb99-456a-97f2-e50505c2fc90
"PHP 5.4.44, 5.5.x < 5.5.28, 5.6.x < 5.6.12 Multiple Vulnerabilities (Mar 2016) - Linux",PHP is prone to multiple vulnerabilities.,"PHP prior to version 5.4.44, 5.5.x prior to 5.5.28 and 5.6.x
  prior to 5.6.12 on Linux.",VendorFix,25c6777b-6157-4a04-a31a-f2df2f1ddae1
"PHP < 5.6.32, 7.x < 7.0.24, 7.1.x < 7.1.11 Heap Based Buffer Overflow Vulnerability - Linux",PHP is prone to a heap buffer overflow vulnerability.,"PHP prior to version 5.6.32, 7.x prior to 7.0.25 and 7.1.x
  prior to 7.1.11.",VendorFix,6ad5a8fa-0d9c-420e-be2d-c1d20c83a6fd
PHP Multiple Vulnerabilities (Jan 2015),PHP is prone to multiple vulnerabilities.,"PHP versions 5.4.x before 5.4.34, 5.5.x before 5.5.18, and
  5.6.x before 5.6.2",VendorFix,fa7c4ff2-148b-4bec-bdc6-f9fa80294eef
"PHP < 5.5.21, 5.6.x < 5.6.5 Multiple DoS Vulnerabilities (Jan 2015)","PHP is prone to multiple denial of service (DoS)
  vulnerabilities.",PHP version 5.5.20 and prior and 5.6.x through 5.6.4,VendorFix,488d179d-4131-48a4-ba49-17c8c90d0d2b
"PHP < 5.5.24, 5.6.x < 5.6.8 DoS Vulnerability - Linux",PHP is prone to a denial of service (DoS) vulnerability.,"PHP versions 5.5.x prior to 5.5.24 and 5.6.x prior to
  5.6.8.",VendorFix,34f6b3ae-a92e-4609-9df9-7b9fc673cf74
PHP Out of Bounds Read Vulnerability (Jan 2015),PHP is prone to an out of bounds read vulnerability.,"PHP versions through 5.4.36, 5.5.x through 5.5.20, and 5.6.x
  through 5.6.4.",VendorFix,01272e62-38fe-4546-a8c5-650511239d9c
"PHP 5.4.x < 5.4.37, 5.5.x < 5.5.21, 5.6.x < 5.6.5 Multiple Vulnerabilities (Feb 2015)",PHP is prone to multiple vulnerabilities.,"PHP versions 5.4.x before 5.4.37, 5.5.x before 5.5.21, and
  5.6.x before 5.6.5.",VendorFix,d115d4ec-6c3a-409f-9a55-0c52fd10ffec
PHP < 5.6.12 Multiple DoS Vulnerabilities - Linux,"PHP is prone to multiple denial of service (DoS)
  vulnerabilities.",PHP prior to version 5.6.12 on Linux.,VendorFix,649372b4-2b3c-4519-8f7b-3fcbc4d54417
Apache HTTP Server mod_session_crypto Vulnerability (Dec 2016) - Linux,Apache HTTP Server is prone to a vulnerability in mod_session_crypto.,Apache HTTP Server version 2.4.1 through 2.4.23.,VendorFix,fca3adea-e2ac-4970-9e44-60b596b73e09
PHP < 5.6.31 DoS Vulnerability - Linux,PHP is prone to a denial of service (DoS) vulnerability.,PHP prior to version 5.6.31.,VendorFix,07cd8796-5171-4578-b968-2d1cca8c422e
"PHP < 5.6.31, 7.x < 7.0.17, 7.1.x < 7.1.3 DoS Vulnerability (Jul 2017) - Linux",PHP is prone to a denial of service (DoS) vulnerability.,"PHP prior to version 5.6.31, 7.x prior to 7.0.17 and 7.1.x
  prior to 7.1.3.",VendorFix,86a5a7f5-d657-4986-bae1-bfa829a073d7
PHP CVE-2017-7189 Improper Input Validation Vulnerability - Linux,PHP is improperly validating input from untrusted input.,"All PHP versions since 4.3.0 up to the latest 7.x versions.

  Note: PHP versions 7.0.18 and 7.1.4 introduced a fix which was reverted again in version 7.0.19 /
  7.1.5 respectively.",WillNotFix,bab04b24-322e-4f20-886c-44434bec435f
"PHP < 5.4.41, 5.5.x < 5.5.25, 5.6.x < 5.6.9 Multiple Vulnerabilities - Linux",PHP is prone to multiple vulnerabilities.,"PHP prior to version 5.4.41, 5.5.x prior to 5.5.25 and 5.6.x
  prior to 5.6.9.",VendorFix,5417fc36-8a16-4f7f-aec9-1ac34d7cb7a7
"PHP 5.4.x < 5.4.36, 5.5.x < 5.5.20, 5.6.x < 5.6.4 Use After Free Vulnerability (Jan 2015)",PHP is prone to an use after free vulnerability.,"PHP versions 5.4.x before 5.4.36, 5.5.x before 5.5.20 and
  5.6.x before 5.6.4.",VendorFix,c3267586-9de5-4adc-b820-162eb5253133
Apache HTTP Server < 2.4.38 mod_session_cookie Vulnerability - Linux,"In Apache HTTP Server mod_session checks the session expiry time before
  decoding the session. This causes session expiry time to be ignored for mod_session_cookie sessions since the
  expiry time is loaded when the session is decoded.",Apache HTTP Server version 2.4.37 and prior.,VendorFix,f56b57eb-523a-4fa2-9212-c883d92bd569
PHP < 7.2.28 Multiple Vulnerabilities (Feb 2020) - Linux,PHP is prone to multiple vulnerabilities.,PHP versions before 7.2.28.,VendorFix,87f4c00b-7644-46cb-9dcf-c9f05b71301a
"PHP 5.4.x < 5.4.40, 5.5.x < 5.5.22, 5.6.x < 5.6.6 RCE Vulnerability (Jul 2015) - Linux","PHP is prone to a remote code execution (RCE)
  vulnerability.","PHP versions 5.4.x prior to 5.4.40, 5.5.x prior to 5.5.22 and
  5.6.x prior to 5.6.6.",VendorFix,dc893c15-d269-4279-b307-ea408e2be426
Apache HTTP Server < 2.4.39 mod_auth_digest Access Control Bypass Vulnerability - Linux,"In Apache HTTP Server, a race condition in mod_auth_digest when running in a
  threaded server could allow a user with valid credentials to authenticate using another username, bypassing
  configured access control restrictions.",Apache HTTP Server version 2.4.38 and prior.,VendorFix,214af1b2-7ebf-442b-98a5-b02a81d4ba9d
PHP < 5.6.0 DoS Vulnerability - Linux,PHP is prone to a denial of service (DoS) vulnerability.,PHP prior to version 5.6.0 on Linux.,VendorFix,578d9da0-106d-4e4c-8e68-fa210c1eac3d
Apache HTTP Server < 2.4.58 mod_macro Out-of-bounds Read Vulnerability - Linux,"Apache HTTP Server is prone to an out-of-bounds read
  vulnerability in mod_macro.",Apache HTTP Server version 2.4.57 and prior.,VendorFix,66b3fcae-c063-4c27-87cd-02f2f52c3d64
